Response,EE% a,PS (nm) a,PDI a,ZP (mV) a,Q 2h (%) a,Q 24h (%) a
Fresh OB formula,81.81 ± 0.23,432.45 ± 0.31,0.318 ± 0.017,–23.3 ± 0.3,42.652 ± 0.52,75.138 ± 0.389
Stored OB formula (3 months),80.43 ± 0.45,441.7 ± 1.8,0.323 ± 0.005,–23.25 ± 0.6,43.4 ± 0.11,76.827 ± 0.118
