Response,EE% a,PS (nm) a,PDI a,ZP (mV) a,Q 2h (%) a,Q 24h (%) a
Before sterilization,81.81 ± 0.23,432.45 ± 0.301,0.318 ± 0.017,–23.3 ± 0.3,42.652 ± 0.5196,75.138 ± 0.3891
After sterilization,97.17 ± 0.5,434 ± 4.5,0.3315 ± 0.0015,–23.2 ± 0.2,44.43 ± 0.00,76.872 ± 0.1174
