layer,formulation,factor1_value,factor2_value,response_predicted,response_actual,desirability
TAM_inner_HPMC_Avicel,TF12,28.90,38.70,85,97.68,1
FIN_outer_Plast_Lub,FF10,1.4,0.75,95.8836,98.36,0.9987
